time,homeplayer,awayplayer,homescore,awayscore,set1homescore,set1awayscore,set2homescore,set2awayscore,set3homescore,set3awayscore,set4homescore,set4awayscore,set5homescore,set5awayscore,nset
08.07.2017,Gulbis E.,Djokovic N.,0,3,4,6,1,6,6,2,7,7,0,0,5
06.07.2017,Pavlasek A.,Djokovic N.,0,3,2,6,2,6,1,6,0,0,0,0,5
01.07.2017,Djokovic N.,Monfils G.,2,0,6,3,6,4,0,0,0,0,0,0,3
30.06.2017,Djokovic N.,Medvedev D.,2,0,6,4,6,4,0,0,0,0,0,0,3
29.06.2017,Djokovic N.,Young D.,2,0,6,2,7,11,6,9,0,0,0,0,5
07.06.2017,Thiem D.,Djokovic N.,3,0,7,7,6,5,6,3,6,0,0,0,5
04.06.2017,Ramos A.,Djokovic N.,0,3,6,5,7,7,1,6,3,6,0,0,5
02.06.2017,Schwartzman D.,Djokovic N.,2,3,7,5,3,6,6,3,1,6,1,6,5
31.05.2017,Sousa J.,Djokovic N.,0,3,1,6,4,6,3,6,0,0,0,0,5
21.05.2017,Zverev A.,Djokovic N.,2,0,6,4,6,3,0,0,0,0,0,0,3
20.05.2017,Thiem D.,Djokovic N.,0,2,1,6,0,6,0,0,0,0,0,0,3
20.05.2017,Del Potro J.,Djokovic N.,0,2,1,6,4,6,0,0,0,0,0,0,3
18.05.2017,Bautista R.,Djokovic N.,0,2,4,6,4,6,0,0,0,0,0,0,3
13.05.2017,Nadal R.,Djokovic N.,2,0,6,2,6,4,0,0,0,0,0,0,3
12.05.2017,Nishikori K.,Djokovic N.,-,-,0,0,0,0,0,0,0,0,0,0,3
11.05.2017,Lopez F.,Djokovic N.,0,2,4,6,5,7,0,0,0,0,0,0,3
21.04.2017,Goffin D.,Djokovic N.,2,1,6,2,3,6,7,5,0,0,0,0,5
20.04.2017,Carreno-Busta P.,Djokovic N.,1,2,2,6,6,4,4,6,0,0,0,0,5
15.03.2017,Kyrgios N.,Djokovic N.,2,0,6,4,7,7,6,3,0,0,0,0,5
15.03.2017,Del Potro J.,Djokovic N.,1,2,5,7,6,4,1,6,0,0,0,0,5
03.03.2017,Djokovic N.,Kyrgios N.,0,2,6,9,7,11,5,7,0,0,0,0,5
02.03.2017,Djokovic N.,Del Potro J.,2,1,4,6,6,4,6,4,0,0,0,0,5
19.01.2017,Istomin D.,Djokovic N.,3,2,7,10,6,8,5,7,2,6,7,7,5
07.01.2017,Murray A.,Djokovic N.,1,2,3,6,7,5,4,6,0,0,0,0,5
06.01.2017,Verdasco F.,Djokovic N.,1,2,6,4,6,7,7,9,3,6,0,0,5
05.01.2017,Stepanek R.,Djokovic N.,0,2,3,6,3,6,0,0,0,0,0,0,3
04.01.2017,Zeballos H.,Djokovic N.,0,2,3,6,4,6,0,0,0,0,0,0,3
20.11.2016,Murray A.,Djokovic N.,2,0,6,3,6,4,0,0,0,0,0,0,3
17.11.2016,Djokovic N.,Goffin D.,2,0,6,1,6,2,0,0,0,0,0,0,3
15.11.2016,Djokovic N.,Raonic M.,2,0,7,8,6,6,7,7,6,5,0,0,5
04.11.2016,Djokovic N.,Cilic M.,0,2,4,6,6,2,7,7,0,0,0,0,5
